episode,mean_return,group_std,mean_queue,mean_wait,throughput,mean_loss
185,17.6498,1.3291,2.53,42.18,374,-0.006433
186,16.8241,1.2243,2.39,39.07,352,-0.006436
187,20.1191,1.2347,2.44,41.19,399,-0.006417
188,18.6270,1.2333,2.27,36.80,375,-0.006429
189,17.8074,1.2781,2.48,42.07,370,-0.006441
190,16.5407,1.0885,2.23,36.42,335,-0.006425
191,18.9212,1.2207,2.37,39.81,373,-0.006427
192,19.6106,1.1415,2.26,37.76,381,-0.006436
193,18.2503,1.1597,2.25,36.98,375,-0.006425
194,16.0985,1.1642,2.30,38.02,361,-0.006423
195,18.3084,1.2682,2.43,40.22,362,-0.006415
196,18.7058,1.2253,2.30,37.75,353,-0.006413
197,18.7058,1.2979,2.45,41.32,393,-0.006404
198,18.0851,1.2441,2.29,37.75,355,-0.006390
199,17.8660,1.1776,2.35,39.04,353,-0.006385
200,18.1791,1.2176,2.32,38.11,366,-0.006388
201,19.3586,1.2104,2.25,36.97,353,-0.006378
202,18.4510,1.2734,2.34,38.51,359,-0.006366
203,17.8342,1.2501,2.44,40.07,360,-0.006377
204,19.4727,1.2610,2.37,39.29,373,-0.006374
205,19.1790,1.1713,2.34,38.74,387,-0.006378
206,17.3388,1.1348,2.40,39.92,353,-0.006385
207,17.6962,1.2184,2.25,36.53,346,-0.006363
208,17.8379,1.1791,2.28,37.99,367,-0.006368
209,19.0383,1.1733,2.28,37.50,372,-0.006353
210,19.4039,1.2597,2.44,40.81,380,-0.006371
211,18.4686,1.3039,2.52,42.48,386,-0.006354
212,17.0776,1.2789,2.44,41.21,368,-0.006359
213,17.8544,1.1463,2.27,37.36,364,-0.006354
214,19.7892,1.2189,2.40,39.91,384,-0.006352
215,17.0899,1.1393,2.25,36.87,352,-0.006349
216,18.5372,1.3113,2.45,40.72,380,-0.006354
217,19.0445,1.2650,2.36,39.50,381,-0.006348
218,18.4329,1.2191,2.31,38.10,377,-0.006343
219,17.6296,1.3296,2.44,41.51,340,-0.006343
220,17.1293,1.1402,2.27,37.80,357,-0.006335
221,18.9777,1.2600,2.28,37.71,381,-0.006326
222,18.5049,1.1656,2.34,38.87,383,-0.006320
223,18.8056,1.1452,2.21,36.78,377,-0.006312
224,17.4070,1.1808,2.36,39.44,360,-0.006309
225,18.5101,1.1753,2.35,38.93,366,-0.006299
226,17.1151,1.2199,2.27,37.42,362,-0.006296
227,16.7154,1.2184,2.19,35.41,351,-0.006296
228,17.7549,1.2170,2.30,38.42,350,-0.006295
229,16.7023,1.3033,2.37,39.07,338,-0.006315
230,18.1339,1.2019,2.22,36.49,364,-0.006310
231,20.0349,1.1886,2.32,38.76,376,-0.006326
232,17.3653,1.2316,2.29,38.23,364,-0.006318
233,17.6234,1.0671,2.25,36.95,370,-0.006330
234,18.0547,1.2043,2.34,38.65,348,-0.006329
235,18.7113,1.1513,2.22,36.70,369,-0.006335
236,18.0045,1.1914,2.31,38.77,371,-0.006347
237,16.6709,1.2290,2.39,39.89,371,-0.006342
238,16.0160,1.1074,2.28,37.73,332,-0.006343
239,16.6220,1.1845,2.30,39.04,364,-0.006336
240,18.3941,1.2551,2.41,40.10,369,-0.006347
241,18.3317,1.1720,2.30,38.04,381,-0.006347
242,19.5120,1.1520,2.21,35.96,392,-0.006340
243,18.4661,1.1263,2.11,35.28,385,-0.006351
244,19.3245,1.1800,2.41,39.86,380,-0.006346
245,17.6768,1.2999,2.38,39.26,352,-0.006344
246,16.8046,1.1804,2.33,38.95,356,-0.006354
247,19.2117,1.1496,2.28,37.56,372,-0.006357
248,17.6745,1.2183,2.29,37.52,360,-0.006341
249,17.9409,1.2923,2.38,40.61,370,-0.006361
250,16.2476,1.2762,2.44,40.54,330,-0.006363
251,17.5555,1.2099,2.33,37.80,368,-0.006364
252,17.7653,1.2977,2.46,41.32,373,-0.006366
253,16.6066,1.1250,2.29,37.75,347,-0.006384
254,17.6240,1.2176,2.31,37.79,359,-0.006376
255,18.2079,1.3205,2.38,39.06,382,-0.006395
256,19.0204,1.2280,2.26,37.02,387,-0.006388
257,18.3962,1.1230,2.26,37.94,385,-0.006398
258,18.0135,1.2805,2.33,38.52,354,-0.006412
259,17.6854,1.1630,2.28,37.32,350,-0.006417
260,18.3384,1.2328,2.43,40.35,376,-0.006429
261,19.3252,1.2020,2.22,36.00,387,-0.006430
262,18.3089,1.1702,2.23,36.60,377,-0.006432
263,17.8094,1.1611,2.37,39.36,361,-0.006443
264,17.8236,1.2896,2.43,40.51,361,-0.006455
265,17.7722,1.2448,2.35,39.43,382,-0.006453
266,18.2064,1.2235,2.29,38.30,376,-0.006452
267,19.3803,1.3424,2.47,41.14,370,-0.006472
268,17.0037,1.2688,2.40,39.77,361,-0.006469
269,16.7140,1.3538,2.41,39.97,352,-0.006469
270,20.1978,1.2586,2.34,38.32,378,-0.006472
271,16.9507,1.1161,2.24,37.07,363,-0.006465
272,18.5268,1.2272,2.24,36.88,374,-0.006465
273,18.2321,1.2306,2.45,41.67,364,-0.006478
274,17.4089,1.2870,2.36,39.62,358,-0.006481
275,17.4784,1.2849,2.39,39.59,355,-0.006486
276,19.9100,1.3022,2.34,39.00,375,-0.006499
277,19.6180,1.2228,2.33,38.56,373,-0.006507
278,19.3364,1.2265,2.22,35.80,388,-0.006514
279,19.0126,1.1468,2.26,36.77,382,-0.006509
280,16.1854,1.3052,2.43,40.76,334,-0.006519
281,17.8580,1.2126,2.31,37.87,360,-0.006527
282,17.6580,1.1476,2.32,38.90,358,-0.006528
