episode,density,mean_return,group_std,mean_queue,mean_wait,throughput,mean_loss,mean_vf_loss,entropy_coef,lr
168,moderate,-0.6868,1.9744,1.9413,30.7639,172,-0.015090,0.220744,0.049370,3.00e-04
169,light,-0.3275,0.7768,0.4260,6.0388,84,-0.010512,0.417910,0.049366,3.00e-04
170,heavy,-3.8864,6.0675,7.4841,144.0181,432,-0.011394,0.772383,0.049362,3.00e-04
171,moderate,-0.5240,1.8380,1.9114,30.8293,183,-0.017511,0.210983,0.049359,3.00e-04
172,moderate,-0.9136,2.0619,2.0203,33.8214,172,-0.016311,0.255816,0.049355,3.00e-04
173,light,-0.7185,1.4091,0.4311,6.3379,74,-0.012212,0.810838,0.049351,3.00e-04
174,heavy,-4.4849,6.2435,7.3286,141.7121,400,-0.014956,0.752058,0.049347,3.00e-04
175,heavy,-4.6576,6.2485,7.3320,137.2303,419,-0.016501,0.461183,0.049344,3.00e-04
176,light,-0.9056,1.2612,0.4450,6.4847,86,-0.015863,0.536388,0.049340,3.00e-04
177,light,-0.9660,1.1966,0.4133,5.7405,87,-0.016742,0.431462,0.049336,3.00e-04
178,heavy,-5.0269,6.3144,7.3983,137.1419,431,-0.018000,0.428642,0.049332,3.00e-04
179,moderate,-1.7598,2.2138,2.0364,32.5601,164,-0.019836,0.332290,0.049329,3.00e-04
180,moderate,-1.5448,1.9422,1.9846,31.9097,166,-0.019246,0.231507,0.049325,3.00e-04
181,heavy,-5.0091,6.3136,7.5499,146.0485,410,-0.017366,0.490677,0.049321,3.00e-04
182,heavy,-5.1807,6.1580,7.4646,142.1434,419,-0.019431,0.332903,0.049317,3.00e-04
183,light,-0.9910,1.1597,0.4275,6.3757,81,-0.016280,0.712462,0.049314,3.00e-04
184,moderate,-1.0439,1.6395,1.7669,27.1432,159,-0.016691,0.363784,0.049310,3.00e-04
185,light,-0.9792,1.2187,0.4151,5.9146,77,-0.017526,0.394869,0.049306,3.00e-04
186,light,-1.1098,0.9855,0.4526,6.7505,83,-0.017765,0.342925,0.049302,3.00e-04
187,moderate,-1.1052,1.3612,1.7582,27.2600,164,-0.016699,0.440206,0.049299,3.00e-04
188,heavy,-4.8457,6.0852,7.3631,138.1982,414,-0.018811,0.791704,0.049295,3.00e-04
189,light,-1.0359,0.9135,0.4002,5.8529,82,-0.017981,0.358133,0.049291,3.00e-04
190,moderate,-0.5097,1.1264,1.6984,25.9185,179,-0.017310,0.303181,0.049287,3.00e-04
191,moderate,-0.7568,0.8450,1.7666,28.7953,165,-0.017716,0.296169,0.049284,3.00e-04
192,light,-0.6835,0.8849,0.4496,7.0366,82,-0.016316,0.931152,0.049280,3.00e-04
193,moderate,-0.8962,1.3244,1.7443,27.3521,172,-0.014525,0.349596,0.049276,3.00e-04
194,light,-0.8993,1.4461,0.4266,6.3633,77,-0.014486,0.594938,0.049272,3.00e-04
195,heavy,-5.1386,5.4015,7.8035,152.7940,410,-0.016786,0.803569,0.049269,3.00e-04
196,light,-0.9020,1.4769,0.4596,7.0972,78,-0.013774,0.359889,0.049265,3.00e-04
197,moderate,-0.9715,1.5880,1.7820,28.7092,167,-0.014599,0.206050,0.049261,3.00e-04
198,light,-0.7359,1.2685,0.4157,5.9422,80,-0.013706,0.240473,0.049257,3.00e-04
199,moderate,-0.8588,1.3995,1.8498,31.0027,184,-0.013994,0.364514,0.049254,3.00e-04
200,light,-0.6952,1.0186,0.4242,6.4248,87,-0.015055,0.237053,0.049250,3.00e-04
201,light,-0.6528,0.7190,0.4457,6.5711,75,-0.016313,0.202090,0.049246,3.00e-04
202,light,-0.4644,0.7400,0.4105,6.0236,84,-0.010831,0.150885,0.049242,3.00e-04
203,heavy,-4.5577,5.8995,7.8840,153.5668,439,-0.013842,1.285063,0.049239,3.00e-04
204,light,-0.3104,0.6773,0.4502,6.8093,78,-0.010008,0.235710,0.049235,3.00e-04
205,light,-0.2573,0.5360,0.4650,6.9879,75,-0.008496,0.198469,0.049231,3.00e-04
206,moderate,-0.1825,1.2857,1.8698,30.8365,169,-0.009342,0.675420,0.049227,3.00e-04
207,heavy,-4.3807,6.0858,7.6821,148.8149,391,-0.010437,0.743240,0.049224,3.00e-04
208,heavy,-4.4726,6.2561,7.6524,153.3790,413,-0.010013,0.458885,0.049220,3.00e-04
209,moderate,-0.5315,2.0026,2.0589,33.7114,172,-0.007930,0.388326,0.049216,3.00e-04
210,heavy,-4.3609,6.2750,7.6376,150.8940,415,-0.011229,0.392919,0.049212,3.00e-04
211,heavy,-4.5323,6.2214,7.4656,147.6126,421,-0.011404,0.335845,0.049209,3.00e-04
212,moderate,-0.8163,2.2834,2.0124,32.9931,163,-0.012125,0.442849,0.049205,3.00e-04
213,moderate,-0.8869,2.4231,1.9828,31.8720,160,-0.013526,0.245725,0.049201,3.00e-04
214,moderate,-0.7954,1.9525,1.9810,32.5543,164,-0.016433,0.142588,0.049197,3.00e-04
215,light,-0.8274,1.3412,0.4318,6.2778,81,-0.014783,0.460165,0.049194,3.00e-04
216,moderate,-0.9772,2.4866,2.0142,34.1368,166,-0.014284,0.163627,0.049190,3.00e-04
217,light,-0.6656,1.1207,0.4093,5.8686,70,-0.011735,0.357791,0.049186,3.00e-04
218,light,-0.7268,1.5157,0.4460,6.6234,68,-0.011406,0.257001,0.049182,3.00e-04
219,moderate,-0.7092,2.1092,1.9034,29.6122,169,-0.010735,0.299774,0.049179,3.00e-04
220,heavy,-4.3306,5.8436,7.4153,144.7370,447,-0.012477,1.025505,0.049175,3.00e-04
221,moderate,-0.7080,2.3330,1.9785,31.9809,194,-0.013695,0.160135,0.049171,3.00e-04
222,heavy,-4.6056,6.1842,7.4034,150.2996,443,-0.016638,0.641151,0.049167,3.00e-04
223,moderate,-0.9243,2.0875,2.2258,39.5190,196,-0.018371,0.186921,0.049164,3.00e-04
224,heavy,-4.5445,5.9913,7.1077,142.7366,432,-0.017572,0.500407,0.049160,3.00e-04
225,light,-0.9086,1.1693,0.4763,7.8015,84,-0.015535,0.521962,0.049156,3.00e-04
226,moderate,-1.4687,2.1720,2.1791,37.6976,168,-0.018836,0.181841,0.049152,3.00e-04
227,light,-1.1831,1.2648,0.4469,7.1305,77,-0.017597,0.455607,0.049149,3.00e-04
228,heavy,-4.9177,5.9076,7.0664,141.8986,410,-0.017557,0.631819,0.049145,2.99e-04
229,heavy,-4.8084,5.8147,7.3176,145.0938,415,-0.019853,0.449523,0.049141,2.99e-04
230,moderate,-1.6316,1.3499,2.1244,38.0915,170,-0.023331,0.298851,0.049137,2.99e-04
231,light,-1.1153,0.9603,0.4665,7.7022,81,-0.020579,0.532286,0.049134,2.99e-04
232,moderate,-1.1278,1.7667,2.0293,35.6667,186,-0.020309,0.248031,0.049130,2.99e-04
233,light,-1.2463,1.4608,0.4554,7.2247,77,-0.017911,0.328664,0.049126,2.99e-04
234,moderate,-1.1325,1.8085,1.9958,32.0525,173,-0.015619,0.220602,0.049122,2.99e-04
235,moderate,-1.1850,1.7870,1.9861,33.6110,172,-0.016616,0.159770,0.049119,2.99e-04
236,moderate,-0.8980,1.5828,1.9991,33.4046,176,-0.019672,0.113875,0.049115,2.99e-04
237,light,-0.8568,1.1292,0.4414,6.8241,84,-0.017314,0.578309,0.049111,2.99e-04
238,moderate,-1.0478,1.8453,1.9895,33.7694,176,-0.017181,0.140580,0.049107,2.99e-04
239,moderate,-1.0143,2.1291,1.8850,30.1692,178,-0.012590,0.143848,0.049104,2.99e-04
240,light,-0.8905,1.8784,0.4545,6.8390,91,-0.013645,0.292591,0.049100,2.99e-04
241,moderate,-0.7433,1.8464,1.8374,29.2087,191,-0.013133,0.215206,0.049096,2.99e-04
242,heavy,-4.3381,5.7828,7.1442,142.3593,403,-0.014389,0.733570,0.049092,2.99e-04
243,moderate,-0.6222,1.7427,1.8546,30.0238,187,-0.012247,0.183017,0.049089,2.99e-04
244,moderate,-0.7992,1.9743,1.9066,30.9375,164,-0.013449,0.122426,0.049085,2.99e-04
245,light,-0.6884,1.2087,0.4566,6.9104,88,-0.013089,0.348040,0.049081,2.99e-04
246,light,-0.4435,1.1787,0.4402,6.4463,96,-0.013553,0.335710,0.049077,2.99e-04
247,moderate,-0.1164,1.1931,1.7726,28.3836,202,-0.010180,0.309255,0.049074,2.99e-04
248,light,-0.2472,0.8356,0.4281,6.4120,98,-0.009919,0.329336,0.049070,2.99e-04
249,light,-0.3381,0.7291,0.5065,8.0466,89,-0.012092,0.293690,0.049066,2.99e-04
250,heavy,-3.9886,5.4996,7.3137,143.6193,415,-0.009311,2.063997,0.049062,2.99e-04
251,moderate,-0.1638,1.5129,1.7292,27.3145,200,-0.008647,0.302010,0.049059,2.99e-04
252,moderate,-0.0407,1.2616,1.6824,25.5695,191,-0.007221,0.137964,0.049055,2.99e-04
253,heavy,-3.9792,5.5720,7.4344,149.0548,401,-0.007496,0.635321,0.049051,2.99e-04
254,light,0.0496,0.6147,0.4170,6.0673,93,-0.008295,0.691686,0.049047,2.99e-04
255,moderate,-0.0229,1.1748,1.6887,26.2908,187,-0.006709,0.115651,0.049044,2.99e-04
256,moderate,-0.3281,1.2999,1.6609,25.2017,187,-0.008970,0.082778,0.049040,2.99e-04
257,light,-0.0508,0.8934,0.4435,6.5352,87,-0.006130,0.294720,0.049036,2.99e-04
258,heavy,-3.4937,5.6145,7.5723,151.9709,439,-0.007104,0.969914,0.049032,2.99e-04
259,moderate,0.0582,1.1140,1.6058,23.7336,179,-0.005890,0.102148,0.049029,2.99e-04
260,moderate,0.0503,1.1762,1.6939,25.9173,173,-0.005568,0.066541,0.049025,2.99e-04
261,light,-0.0011,0.9307,0.4481,6.9633,89,-0.005135,0.379428,0.049021,2.99e-04
262,moderate,0.2437,1.1790,1.6558,24.9852,182,-0.004720,0.164078,0.049017,2.99e-04
263,heavy,-3.5846,5.7544,7.3712,146.4699,412,-0.007536,0.748061,0.049014,2.99e-04
264,heavy,-3.7743,5.7172,7.3862,143.3750,446,-0.006881,0.438033,0.049010,2.99e-04
265,heavy,-4.1106,5.6510,7.4343,146.0404,418,-0.008031,0.285465,0.049006,2.99e-04
266,moderate,-0.0265,1.0418,1.7233,27.6291,182,-0.008586,0.457504,0.049002,2.99e-04
267,light,-0.2842,0.8800,0.4435,6.6287,82,-0.007993,0.798844,0.048999,2.99e-04
268,light,-0.3378,0.8919,0.4538,6.7228,85,-0.009015,0.409431,0.048995,2.99e-04
