tls_id,timesteps,ep_rew_mean,ep_len_mean,value_loss,policy_gradient_loss,entropy_loss
A0,663552,,,0.034637,-5.7e-05,-0.004424
A0,667648,,,0.031605,-4.3e-05,-0.002345
A0,671744,,,0.03241,-4.8e-05,-0.003159
A0,675840,,,0.037078,0.0,-0.001516
A0,679936,,,0.038097,-2.7e-05,-0.002855
A0,684032,,,0.028677,-0.0,-0.00203
A0,688128,,,0.029715,-0.0,-0.00659
A0,692224,,,0.036829,-0.000648,-0.02219
A0,696320,,,0.03614,-0.000811,-0.023325
A0,700416,,,0.034912,-0.000859,-0.020198
A0,704512,,,0.033398,-0.000202,-0.012961
A0,708608,,,0.029934,2.2e-05,-0.015241
A0,712704,,,0.032783,-0.001935,-0.043177
A0,716800,,,0.032294,-0.00152,-0.030639
A0,720896,,,0.036121,-0.00074,-0.024807
A0,724992,,,0.031411,-0.000381,-0.022644
A0,729088,,,0.031326,-0.000159,-0.014126
A0,733184,,,0.030084,-0.000552,-0.019093
A0,737280,,,0.033786,-0.000152,-0.010988
A0,741376,,,0.033806,-0.000149,-0.010182
A0,745472,,,0.031566,-0.000313,-0.005805
A0,749568,,,0.036116,-0.000255,-0.003405
A0,753664,,,0.030328,-0.0,-0.002968
A0,757760,,,0.032503,1e-05,-0.004514
A0,761856,,,0.03293,-0.0,-0.005161
A0,765952,,,0.032146,-0.000389,-0.007789
A0,770048,,,0.029056,-0.000163,-0.007716
A0,774144,,,0.033152,-8e-06,-0.005692
A0,778240,,,0.032144,-0.000106,-0.006332
A0,782336,,,0.030908,-8.6e-05,-0.006
A0,786432,,,0.03738,0.0,-0.00423
A0,790528,,,0.035549,-0.000176,-0.010416
A0,794624,,,0.032804,-6.2e-05,-0.005641
A0,798720,,,0.034638,-0.000106,-0.005004
A0,802816,,,0.030939,-7.9e-05,-0.003004
A0,806912,,,0.032518,-0.000114,-0.003842
A0,811008,,,0.032768,-0.0,-0.002094
A0,815104,,,0.03215,-0.0,-0.002915
A0,819200,,,0.032797,-0.0,-0.004711
