#{"t_start": 1776557730.566679, "env_id": "None"}
r,l,t
-192.7,367,3992.724006
-5224.2,772,4014.569829
-611.3,367,4017.849909
-192.7,367,4021.623258
-5223.6,772,4041.049734
-196.9,367,4046.551586
-613.5,367,4050.099347
-615.5,367,4052.596717
-197.1,367,4055.754033
-200.1,367,4058.135649
-199.1,367,4060.469352
-201.5,367,4064.215114
-198.7,367,4067.907193
-5235.6,772,4089.139915
-197.9,367,4093.003894
-615.9,367,4098.318341
-611.7,367,4101.990103
-196.9,367,4105.570789
-5233.8,772,4124.830793
-200.3,367,4130.444601
-5238.6,772,4151.219929
-618.1,367,4155.141605
-617.1,367,4159.494267
-5235.4,772,4179.269405
-5240.8,772,4198.791112
-202.1,367,4202.642916
-202.1,367,4206.516602
-202.7,367,4210.084334
-201.3,367,4212.453354
-201.3,367,4216.124063
-613.9,367,4219.724478
-618.3,367,4223.848449
-5242.4,772,4246.506462
-205.3,367,4249.429205
-5245.8,772,4270.63344
-203.1,367,4274.360216
-5243.6,772,4293.440497
-617.7,367,4297.618415
-618.5,367,4301.798954
-200.7,367,4305.511144
-616.3,367,4308.831894
-5239.0,772,4330.69105
-616.5,367,4333.688505
-615.7,367,4337.659616
-614.3,367,4341.610884
-199.7,367,4346.991096
-614.7,367,4349.938118
-5237.8,772,4371.160816
-5240.8,772,4390.651589
-613.5,367,4396.535466
-5242.2,772,4414.859874
-204.5,367,4418.710821
-616.7,367,4422.962697
-5247.2,772,4444.704176
-618.9,367,4447.380383
-200.5,367,4449.708568
-617.7,367,4453.028206
-618.7,367,4457.113257
-5234.2,772,4479.053795
-200.3,367,4481.849195
-5231.8,772,4503.460575
-196.1,367,4508.702555
-5227.6,772,4528.995562
-195.7,367,4532.97119
-197.9,367,4536.837582
-5236.6,772,4559.242922
-5239.8,772,4581.032184
-616.9,367,4584.993178
-5235.0,772,4608.296687
-5231.2,772,4628.997643
-197.9,367,4632.784325
-5231.4,772,4654.716359
-613.1,367,4658.464089
-612.5,367,4661.163734
-195.9,367,4664.869931
-612.7,367,4667.41187
-198.7,367,4669.903069
-5236.0,772,4691.31468
-5230.8,772,4710.959433
-5231.4,772,4732.008312
-196.3,367,4735.909883
-193.7,367,4739.6306
-612.1,367,4743.849368
-612.1,367,4747.787395
-5232.6,772,4770.103688
-613.1,367,4774.307889
-5233.0,772,4796.12476
-5226.6,772,4817.985551
-200.1,367,4821.792238
-194.9,367,4825.73515
-610.1,367,4829.909575
-198.5,367,4833.327206
-614.3,367,4839.091922
-612.1,367,4843.270284
-199.5,367,4846.176168
-197.9,367,4848.697185
-5233.2,772,4868.770123
-613.3,367,4873.398564
-618.1,367,4876.067865
-614.7,367,4878.746444
-5241.2,772,4897.782452
-202.1,367,4902.137658
-200.3,367,4904.921814
-615.7,367,4907.423208
-201.5,367,4910.662249
-5251.4,772,4930.92828
-202.1,367,4936.466985
-617.9,367,4940.179271
-616.5,367,4943.627205
-5231.8,772,4962.495189
-5241.6,772,4983.02435
-5248.0,772,5003.465276
-618.9,367,5006.313027
-5247.2,772,5027.038523
-201.9,367,5030.781284
-617.1,367,5033.676731
-204.7,367,5037.073582
-206.5,367,5040.415742
-618.5,367,5043.710498
-201.7,367,5047.084258
-203.5,367,5050.807414
-200.7,367,5054.682119
-205.7,367,5058.479298
-621.5,367,5062.693457
-201.5,367,5068.001885
-617.5,367,5071.142838
-618.7,367,5075.287536
-5246.0,772,5094.529314
-620.5,367,5100.053098
-620.3,367,5103.769905
-618.3,367,5108.000582
-614.1,367,5112.072775
-5240.0,772,5132.050947
-620.1,367,5136.679727
