#{"t_start": 1777633440.071811, "env_id": "None"}
r,l,t
10.94,768,10818.141199
11.44,768,10840.186211
5.14,367,10843.049645
5.64,367,10848.655049
5.24,367,10853.043092
2.06,367,10856.112373
10.94,768,10878.980472
1.76,367,10882.346114
5.14,367,10885.737984
10.14,768,10914.674334
1.56,367,10918.790963
12.14,768,10951.471939
2.16,367,10955.170008
1.56,367,10958.886675
5.34,367,10963.090576
1.46,367,10967.140302
1.26,367,10971.033819
5.64,367,10975.192102
11.34,768,10999.810323
11.24,768,11022.089502
12.54,768,11046.902378
5.64,367,11050.811087
2.16,367,11054.468722
1.86,367,11057.445693
5.04,367,11060.330227
5.64,367,11064.503111
1.66,367,11068.539412
12.34,768,11099.435766
1.66,367,11105.401561
5.64,367,11109.867678
2.16,367,11112.826195
5.44,367,11117.33092
5.54,367,11120.845014
11.84,768,11143.70598
5.14,367,11147.54807
1.96,367,11150.902381
1.76,367,11153.660491
2.16,367,11156.90187
2.16,367,11160.559555
5.64,367,11166.396585
12.34,768,11191.034813
5.64,367,11194.928169
2.16,367,11198.029154
11.94,768,11222.969245
5.44,367,11225.757927
12.04,768,11249.272691
12.54,768,11274.036478
12.34,768,11299.53552
5.44,367,11304.859166
12.54,768,11328.207839
12.34,768,11354.018551
5.64,367,11357.058828
1.76,367,11360.426709
5.64,367,11366.16215
12.34,768,11391.172774
1.96,367,11395.146041
5.64,367,11399.339668
12.24,768,11429.047481
12.34,768,11468.264254
1.96,367,11473.703143
5.44,367,11479.428224
5.64,367,11488.111231
5.64,367,11494.029938
12.24,768,11532.691289
12.54,768,11569.379265
5.64,367,11575.150017
5.64,367,11581.268435
5.64,367,11584.987633
5.64,367,11588.395563
5.64,367,11592.67678
12.54,768,11617.568265
12.54,768,11640.170497
2.16,367,11643.463543
1.96,367,11646.527013
5.64,367,11650.246814
5.64,367,11654.592224
12.14,768,11678.212539
5.64,367,11682.416625
12.34,768,11706.415147
12.54,768,11728.31781
2.16,367,11732.210134
5.64,367,11736.210566
2.16,367,11739.51892
12.54,768,11762.22842
12.24,768,11785.223902
5.64,367,11791.043868
5.64,367,11795.596396
12.34,768,11821.44447
12.54,768,11845.953428
2.16,367,11849.759546
12.54,768,11872.419079
5.64,367,11875.598712
5.64,367,11879.504157
-0.14,367,11885.044295
5.54,768,11909.587307
6.74,768,11933.459208
-0.54,367,11937.648569
6.24,768,11962.344089
6.94,768,11987.244079
6.14,768,12012.283708
1.94,367,12016.400872
7.54,768,12039.337774
7.64,768,12065.882083
4.24,367,12070.159596
3.64,367,12074.16487
7.14,768,12102.37084
4.24,367,12109.027178
1.16,367,12112.505088
0.16,367,12115.759391
4.44,367,12118.989114
0.56,367,12121.53645
1.36,367,12124.484087
3.94,367,12128.751002
3.74,367,12131.861508
6.14,768,12157.389814
3.64,367,12161.518884
0.76,367,12167.227496
3.64,367,12171.445822
3.74,367,12175.645748
1.06,367,12179.586895
1.26,367,12182.364899
-0.24,367,12184.860873
9.84,768,12209.216276
3.84,367,12213.418514
10.04,768,12239.198635
0.36,367,12245.552108
1.36,367,12249.726205
0.66,367,12253.24944
1.46,367,12257.191132
10.44,768,12280.618914
1.16,367,12283.354157
0.46,367,12286.504804
1.56,367,12290.515541
10.24,768,12315.113147
10.14,768,12341.412871
10.44,768,12368.275591
5.04,367,12372.510764
10.84,768,12398.519199
11.44,768,12428.02574
1.26,367,12432.051993
5.14,367,12436.157984
1.66,367,12441.944252
1.66,367,12445.596943
1.86,367,12449.425922
