#{"t_start": 1776373617.1096044, "env_id": "None"}
r,l,t
-5125.5,766,3026.552303
-628.8,367,3029.716025
-630.2,369,3033.714335
-624.4,367,3036.546641
-622.1,367,3040.011767
-194.4,369,3045.076082
-623.7,367,3047.738625
-5126.1,774,3067.756824
-198.1,367,3071.148491
-199.0,367,3076.032958
-5076.0,772,3095.676277
-199.5,367,3098.901387
-188.3,367,3101.37611
-5070.2,772,3120.608346
-624.7,369,3123.787789
-189.3,367,3127.084018
-5062.9,773,3145.826188
-5076.4,772,3167.243347
-5024.8,766,3184.300012
-5026.0,773,3203.738663
-5049.4,766,3223.073792
-200.0,367,3226.298663
-200.1,367,3228.910935
-5026.1,772,3248.149642
-5064.4,766,3267.333247
-5083.0,766,3284.265121
-635.9,372,3288.181532
-195.5,367,3290.583313
-5071.3,766,3308.566224
-5078.2,766,3327.654479
-5014.8,766,3346.448817
-5062.3,772,3365.242095
-5071.5,773,3384.627165
-632.9,367,3387.58882
-207.4,367,3390.886986
-205.9,367,3393.524213
-195.6,367,3396.647345
-201.6,367,3400.668966
-628.9,370,3404.135142
-5054.4,767,3422.932655
-635.6,368,3426.54258
-5045.6,767,3445.487546
-192.0,367,3447.838623
-5034.2,767,3465.634398
-197.7,367,3468.594854
-196.9,367,3473.715676
-630.3,367,3477.938153
-5042.1,773,3496.324207
-5077.7,772,3513.047068
-5030.1,766,3534.428447
-5057.1,772,3553.974551
-631.1,367,3557.713364
-193.4,367,3562.961256
-629.2,367,3566.001764
-200.7,367,3568.349085
-202.2,367,3571.574537
-5026.2,772,3591.528099
-203.4,367,3595.347059
-198.9,367,3598.525603
-198.8,367,3601.087923
-199.1,367,3603.678963
-5016.7,772,3623.986628
-200.2,367,3627.288252
-5063.9,766,3647.055671
-5034.4,767,3667.266517
-194.6,367,3670.138529
-196.4,367,3672.586633
-5015.5,766,3691.990615
-624.6,367,3694.479692
-5030.3,767,3714.04361
-627.7,367,3717.578422
-5038.9,767,3736.362746
-195.9,367,3741.325909
-5014.9,767,3760.224302
-4991.5,772,3779.429692
-4986.6,773,3799.325567
-620.3,367,3802.905135
-631.3,367,3806.14295
-192.6,367,3808.949519
-193.0,367,3811.736727
-192.6,367,3816.350956
-194.5,367,3819.562935
-4993.4,766,3836.200376
-617.3,367,3839.43953
-610.9,368,3844.126345
-4961.9,766,3861.839928
-630.2,367,3864.851031
-196.3,367,3867.505572
-189.8,367,3871.119596
-5039.3,766,3892.067921
-641.5,367,3895.748103
-200.0,367,3899.467504
-195.4,367,3903.084965
-619.3,367,3907.674645
-202.1,367,3911.440826
-198.0,367,3913.816521
-201.0,367,3916.106193
-629.7,368,3918.729449
-197.8,368,3921.879816
-5054.2,767,3942.274092
-5045.0,765,3962.440405
-5040.0,773,3983.770594
-209.9,367,3987.509764
-638.6,367,3990.030956
-642.1,367,3992.524171
-207.4,368,3995.055126
-639.5,367,3997.984166
-628.5,368,4002.810469
-635.0,368,4006.632482
-5035.7,766,4023.14717
-633.9,367,4025.647174
-5059.6,772,4044.348706
-211.7,367,4047.05666
-5052.3,773,4066.12339
-631.7,367,4070.14399
-206.4,367,4074.435002
-207.9,367,4076.819451
-634.9,367,4079.582737
-207.4,367,4082.795944
-211.0,369,4086.614312
-632.0,369,4092.35852
-634.5,367,4095.385164
-5037.4,767,4113.373792
-623.2,368,4116.566789
-629.6,367,4119.109035
-5046.6,772,4137.055763
-204.3,367,4139.531981
-632.3,367,4142.229926
-205.0,367,4145.759109
-202.8,367,4150.959437
-625.5,367,4154.795847
-625.5,367,4157.573663
-5018.0,773,4176.806386
-5041.8,774,4195.614029
-621.8,368,4198.110807
-5005.7,767,4216.377005
-203.9,367,4219.307145
-5003.0,766,4239.164981
-634.0,367,4243.223243
-195.3,367,4246.68784
-637.6,367,4250.251616
-5015.4,773,4269.996384
-617.3,367,4273.34526
-197.2,367,4275.67286
-5062.3,772,4292.450354
-622.0,368,4297.42542
-623.8,368,4300.819437
-4999.2,772,4318.56008
-4976.8,767,4338.331822
-619.6,367,4342.234747
-4967.1,766,4359.024543
-5069.1,766,4377.355563
-187.6,369,4382.277289
-5018.6,766,4401.314515
-610.9,367,4404.907549
-194.4,367,4407.606355
-4993.2,767,4427.166539
-612.2,367,4429.988669
-611.8,367,4432.978756
-615.8,368,4435.468125
-613.6,367,4438.896499
-624.0,367,4443.761717
-4992.2,772,4463.117517
-190.3,367,4465.475758
-618.4,368,4468.526496
-615.9,367,4472.994863
-186.1,367,4475.755221
-184.1,367,4479.583215
-5021.2,766,4497.89471
-4992.7,766,4516.884875
-187.9,367,4519.413624
-4984.9,772,4537.054425
-616.0,367,4540.870523
-5003.1,766,4561.103791
-623.1,367,4564.306266
-606.3,367,4568.476985
-187.2,367,4571.091259
-196.3,367,4574.41109
-194.6,367,4578.543198
-188.1,367,4581.179461
-618.3,370,4584.922319
-194.4,367,4587.678544
-613.6,367,4590.155186
-194.5,367,4594.870767
-624.1,367,4597.752794
-201.8,367,4600.918739
-631.3,368,4603.464739
-5044.6,772,4622.394769
-5043.6,773,4643.918267
-623.5,367,4646.542805
-620.0,367,4649.553025
-5035.0,766,4668.835376
-623.0,367,4672.645594
-619.3,367,4675.743501
-198.5,368,4679.321625
-194.5,367,4682.99
-614.6,367,4686.505069
-5006.6,766,4706.185646
-624.0,367,4708.712995
-192.7,367,4711.220074
-196.8,367,4713.731054
-5001.1,767,4734.147406
-619.4,367,4737.485366
-4991.0,767,4755.318564
-189.7,367,4757.959745
-616.0,367,4762.31062
-196.6,367,4764.6097
-200.1,367,4768.032216
-5044.0,766,4787.566776
-623.5,367,4792.739949
-632.5,367,4795.895342
-610.7,367,4798.762138
-194.3,367,4801.0813
-622.9,367,4803.56834
-5039.6,766,4821.389962
-620.4,367,4824.388305
-612.9,367,4827.74855
-619.9,367,4830.351553
-193.2,367,4832.732994
-191.4,367,4836.500052
-4986.4,767,4853.50642
-5012.0,773,4871.122062
-610.9,367,4874.472471
-620.7,367,4880.077752
-196.7,367,4882.750374
-608.0,367,4885.513995
-193.5,367,4888.713988
-612.6,367,4891.701696
-615.0,367,4897.569636
-197.5,367,4900.146605
-5046.3,767,4916.276938
-620.1,370,4919.388539
-5036.0,772,4938.886122
-619.5,368,4942.909625
-5043.3,772,4962.328538
-189.7,367,4965.415265
-5017.3,772,4985.76556
-193.0,367,4988.132134
-192.3,367,4991.809823
-617.6,368,4995.586257
-619.6,367,5000.160234
-190.4,367,5002.882889
-195.8,367,5005.299819
-624.4,367,5008.173754
-193.5,367,5011.36686
-196.3,367,5014.888081
-194.2,367,5019.896979
-5042.2,766,5038.703496
-196.4,367,5042.528272
-630.4,367,5045.467245
-5022.4,767,5065.741597
-619.7,370,5069.264507
-5020.9,767,5087.079103
-195.8,367,5089.880828
-620.7,367,5093.536184
-195.1,367,5096.600273
-622.4,367,5099.989176
-5021.3,772,5119.401515
-199.2,367,5124.312279
-618.7,367,5127.188353
-624.5,367,5129.901287
-198.0,367,5132.254435
-5047.1,772,5150.801468
-193.7,367,5156.124777
-618.8,368,5160.143892
-5012.6,767,5179.913272
-5001.0,767,5200.041044
-199.5,367,5203.691447
-201.4,367,5206.737693
-5010.2,766,5225.359721
-5026.1,772,5244.343497
-206.2,367,5247.305511
-624.4,368,5250.997946
-632.8,367,5254.481226
-201.9,367,5257.232032
-197.4,367,5262.075943
-621.1,369,5266.055452
-620.7,367,5269.67935
-198.7,369,5273.39109
-5056.9,766,5292.845342
-4998.1,766,5311.088896
-203.2,367,5314.512089
-203.4,367,5317.473258
-5041.2,772,5335.878694
-619.3,367,5338.757411
-5073.6,772,5357.36952
-203.0,367,5359.764805
-5028.7,772,5377.743466
-621.0,367,5381.110929
-5052.3,767,5398.695904
-201.6,367,5401.247898
-5086.8,766,5420.990342
-627.7,367,5424.12759
-205.0,367,5426.923246
-630.6,369,5430.273949
-629.5,368,5435.259635
-5039.3,766,5453.530252
-629.7,367,5457.566408
-203.5,367,5460.223452
-628.0,367,5464.218363
-202.7,367,5469.318647
-5050.7,766,5486.875601
-198.0,367,5490.432864
-622.0,369,5493.323505
-199.5,367,5497.980586
-617.8,369,5501.558741
-613.6,367,5504.951726
-618.2,367,5509.120376
-627.7,367,5513.161615
-196.1,367,5515.739517
-621.9,367,5520.777588
-626.9,368,5524.909639
-202.3,367,5528.682972
-625.7,367,5532.774806
-623.0,368,5536.413848
-188.5,367,5539.352017
-624.7,367,5544.559789
-621.6,367,5547.392638
-622.5,367,5549.934456
-5066.3,772,5568.073624
-190.3,367,5572.002902
-192.0,367,5574.619135
-190.7,367,5577.791421
-5007.3,772,5596.864686
-607.0,367,5599.546141
-611.7,367,5604.080534
-195.6,367,5607.35444
-612.0,367,5611.175432
-626.4,368,5615.147646
-614.5,368,5618.01544
-186.7,367,5621.981752
-611.7,368,5624.507541
-195.3,367,5626.865942
-189.2,367,5630.171554
-189.6,367,5633.986678
-5013.2,772,5652.228818
-5034.9,766,5670.272561
-612.3,368,5673.102457
-602.7,367,5676.640084
-189.5,367,5680.538846
-610.9,367,5684.422765
-190.0,367,5688.029407
-191.6,367,5691.097365
-190.3,367,5693.630043
-188.3,367,5696.175803
-613.2,367,5700.004123
-4988.2,772,5719.143564
-195.1,367,5721.751083
-617.1,367,5724.332393
-610.0,368,5729.594661
-191.4,367,5732.313837
-4986.0,767,5751.354326
-189.7,367,5753.86929
-185.7,367,5756.221608
-188.3,369,5760.887517
-188.5,367,5763.937667
-617.6,367,5766.984663
-182.1,367,5770.278994
-186.8,367,5773.59317
-617.9,367,5778.209139
-181.2,367,5781.271964
-607.7,367,5784.864269
-191.3,367,5787.628227
-5006.3,772,5806.063711
